ESPN Rank,FGA2017,Player Name,Team + Position,GP2017,Min2017,FGP2017,FTP2017,3PM2017,REB2017,AST2017,ATO2017,STL2017,BLK2017,TO2017,PTS2017,GP2018,Min2018,FGP2018,FTP2018,3PM2018,REB2018,AST2018,ATO2018,STL2018,BLK2018,TO2018,PTS2018,3PP2017,3PA2017,DD2017,FTA2017,FTM2017
48,15.4,Dennis Schroder, Atl PG,79,31.5,0.451,0.855,1.3,3.1,6.3,1.93,0.9,0.2,3.3,17.9,78,33,0.439,0.858,1.7,3.7,7.2,1.98,1.2,0.2,3.6,20.2,0.34,4,10,3.2,2.8
49,11.1,Elfrid Payton, Orl PG,82,29.4,0.471,0.692,0.5,4.7,6.5,2.97,1.1,0.5,2.2,12.8,78,30,0.46,0.661,0.5,4.6,6.6,2.9,1.4,0.4,2.3,12.5,0.274,2,18,2.6,1.8
50,11.8,Al Horford, Bos C,68,32.3,0.473,0.8,1.3,6.8,5,2.93,0.8,1.3,1.7,14,77,32,0.494,0.802,1.1,7.4,4.3,3.06,0.9,1.3,1.4,13.8,0.355,4,8,2,1.6
51,19.1,Andrew Wiggins, Min SG,82,37.2,0.452,0.76,1.3,4,2.3,1.01,1,0.4,2.3,23.6,78,37,0.475,0.769,1,4.5,2.6,1.24,1.2,0.5,2.1,21.1,0.356,4,1,6.6,5
52,18.3,Devin Booker, Pho SG,78,35,0.423,0.832,1.9,3.2,3.4,1.11,0.9,0.3,3.1,22.1,78,35,0.429,0.831,2,3.4,3.9,1.33,1.1,0.3,2.9,21.8,0.363,5,,5.7,4.7
53,13.3,Jrue Holiday, Nor PG,67,32.7,0.454,0.708,1.5,3.9,7.3,2.52,1.5,0.7,2.9,15.4,72,32,0.464,0.778,1.4,3.5,6.7,2.79,1.6,0.6,2.4,15,0.356,4,16,2.5,1.8
54,8.1,Gorgui Dieng, Min C,82,32.4,0.502,0.814,0.2,7.9,1.9,1.48,1.1,1.2,1.3,10,78,25,0.53,0.832,0.1,6.8,1.9,1.63,0.9,0.9,1.2,7.8,,,13,2,1.7
55,,Ben Simmons, Phi PF,0,0,0,0,0,0,0,0,0,0,0,0,67,28,0.494,0.693,0.1,7.7,2.9,1.69,1.1,0.5,1.7,11.1,,,,9,6
56,14.6,LaMarcus Aldridge, SA PF,72,32.4,0.477,0.812,0.3,7.3,1.9,1.42,0.6,1.2,1.4,17.3,77,32,0.486,0.833,0.3,7.9,1.9,1.44,0.7,1,1.3,16.9,,,18,3.8,3.1
57,8.2,Marcin Gortat, Wsh C,82,31.2,0.579,0.648,0,10.4,1.5,1.02,0.5,0.7,1.5,10.8,78,28,0.546,0.654,0,8.9,1.4,1.13,0.6,0.9,1.2,9.7,,,36,1.9,1.3
58,13.7,Nikola Vucevic, Orl C,75,28.8,0.468,0.669,0.3,10.4,2.8,1.78,1,1,1.6,14.6,76,28,0.492,0.741,0.2,9,2.7,1.72,0.9,0.8,1.6,15.7,,,38,2.1,1.4
59,8.7,Ricky Rubio, Utah PG,75,32.9,0.402,0.891,0.8,4.1,9.1,3.5,1.7,0.1,2.6,11.1,71,32,0.387,0.877,1.1,4.5,8.2,2.75,1.8,0.1,3,13,0.306,3,25,3.8,3.4
60,,Lonzo Ball, LAL PG,0,0,0,0,0,0,0,0,0,0,0,0,78,28,0.408,0.697,1.3,3.9,5,2.86,1.2,0.3,1.8,8.4,,,,3.1,2.1
61,11.4,Dario Saric, Phi SF,81,26.3,0.411,0.782,1.3,6.3,2.2,0.99,0.7,0.4,2.3,12.8,78,26,0.428,0.784,1.3,6.3,2.6,1.26,0.8,0.4,2.1,12.8,0.311,4,10,2.7,2.1
62,,Markelle Fultz, Phi PG,0,0,0,0,0,0,0,0,0,0,0,0,78,25,0.42,0.669,0.9,3.4,3.8,2.04,1,0.4,1.9,10.3,,,,7.5,4.9
63,11.2,Andre Drummond, Det C,81,29.7,0.53,0.386,0,13.8,1.1,0.59,1.5,1.1,1.9,13.6,78,30,0.524,0.401,0.1,13.4,1.1,0.63,1.5,1.2,1.7,14.1,,,49,4.4,1.7
64,8.8,Jonas Valanciunas, Tor C,80,25.8,0.557,0.811,0,9.5,0.7,0.54,0.5,0.8,1.3,12,77,26,0.557,0.802,0,9.7,1,0.74,0.5,1,1.4,12.1,,,29,2.7,2.2
65,10.9,Robert Covington, Phi PF,67,31.6,0.399,0.822,2,6.5,1.5,0.78,1.9,1,2,12.9,76,31,0.402,0.834,2.6,6.3,1.8,0.93,1.9,0.8,1.9,13.9,0.333,6,12,2.6,2.1
66,8.3,Dwight Howard, Cha C,74,29.7,0.633,0.533,0,12.7,1.4,0.61,0.9,1.2,2.3,13.5,73,28,0.605,0.53,0,10.5,1.4,0.66,0.9,1.2,2.1,12.1,,,53,5.7,3.1
67,10,Jae Crowder, Cle SF,72,32.4,0.463,0.811,2.2,5.8,2.2,1.94,1,0.3,1.1,13.9,78,25,0.446,0.826,1.5,4.3,1.8,2.09,1.1,0.3,0.8,10.4,0.398,5,7,3,2.4
68,8.7,Clint Capela, Hou C,65,23.9,0.643,0.531,0,8.1,1,0.72,0.5,1.2,1.3,12.6,77,24,0.628,0.485,0,8.4,1.3,0.94,0.9,1.4,1.4,12,,,15,2.7,1.4
69,,Jabari Parker,*,51,33.9,0.49,0.743,1.3,6.2,2.8,1.53,1,0.4,1.8,20.1,29,25,0.506,0.768,0.6,4.7,2,1.43,0.8,0.3,1.4,13.6,0.365,3,2,4.3,3.2
70,13,Tobias Harris, Det PF,82,31.3,0.481,0.841,1.3,5.1,1.7,1.48,0.7,0.5,1.2,16.1,77,31,0.466,0.82,1.3,5.3,2,1.6,0.9,0.4,1.2,14.8,0.347,4,3,2.8,2.3
71,10,Trevor Ariza, Hou SF,80,34.7,0.409,0.738,2.4,5.7,2.2,2.4,1.8,0.3,0.9,11.7,78,34,0.413,0.773,2.3,5.3,2.5,2.19,1.9,0.3,1.1,11.1,0.344,7,3,1.6,1.2
72,13.9,Victor Oladipo, Ind SG,67,33.2,0.442,0.753,1.9,4.3,2.6,1.48,1.2,0.3,1.8,15.9,76,33,0.421,0.817,1.8,4.6,3.2,1.57,1.4,0.4,2.1,16.1,0.361,5,3,2.3,1.7
73,12.3,Lou Williams, LAC PG,81,24.6,0.429,0.88,2,2.5,3,1.49,1,0.2,2,17.5,78,24,0.415,0.861,1.7,2.3,2.5,1.6,1,0.2,1.6,14.9,0.365,6,,5.6,5
74,16.2,Harrison Barnes, Dal SF,79,35.5,0.468,0.861,1,5,1.5,1.15,0.8,0.2,1.3,19.2,77,35,0.45,0.819,1.4,5.8,1.7,1.43,0.9,0.2,1.2,16.2,0.351,3,1,3.6,3.1
75,10.4,Julius Randle, LAL PF,74,28.8,0.487,0.723,0.2,8.6,3.6,1.53,0.7,0.5,2.3,13.2,66,30,0.471,0.736,0.3,10.2,3.2,1.36,0.8,0.5,2.3,14.2,,,18,3.8,2.8
76,10.1,James Johnson, Mia SF,76,27.4,0.479,0.707,1.1,4.9,3.6,1.61,1,1.1,2.3,12.8,77,27,0.463,0.688,0.9,4.8,3,1.48,1.1,1,2,11.2,0.34,3,4,2.8,2
77,,Rudy Gay, SA SF,30,33.8,0.455,0.855,1.4,6.3,2.8,1.12,1.5,0.9,2.5,18.7,68,24,0.463,0.833,0.8,4.4,1.8,1.29,1,0.6,1.4,11.2,,,4,4.6,3.9
78,,Zach LaVine,*,47,37.2,0.459,0.836,2.6,3.4,3,1.64,0.9,0.2,1.8,18.9,76,28,0.448,0.821,1.6,3.3,3.3,1.7,0.9,0.2,1.9,14.9,0.387,7,,3,2.5
79,7.7,Marquese Chriss, Pho PF,82,21.3,0.449,0.624,0.9,4.2,0.7,0.56,0.8,0.9,1.3,9.2,78,25,0.457,0.659,1,5.1,1.5,0.89,1.2,1,1.7,11.5,0.321,3,3,2.2,1.4
